118,17,515.25,261.48,101.00,31.00,0.8563,-1,-1,-1
118,19,889.57,215.87,70.28,58.78,0.8844,-1,-1,-1
119,3,206.86,254.93,96.13,38.62,0.8192,-1,-1,-1
119,4,243.04,285.15,381.17,175.81,0.9474,-1,-1,-1
119,13,251.80,282.81,116.57,38.76,0.9149,-1,-1,-1
119,17,496.21,262.36,106.73,32.38,0.8114,-1,-1,-1
119,19,884.50,216.27,75.02,58.87,0.8728,-1,-1,-1
120,3,206.90,255.44,96.11,37.00,0.8527,-1,-1,-1
120,4,221.07,288.05,391.66,179.47,0.9468,-1,-1,-1
120,13,236.34,283.96,117.41,39.24,0.9121,-1,-1,-1
120,17,479.83,263.30,109.34,33.36,0.7862,-1,-1,-1
120,19,878.90,216.89,77.98,59.03,0.8747,-1,-1,-1
121,3,207.22,255.80,95.70,35.97,0.8474,-1,-1,-1
121,4,199.37,290.19,400.65,183.58,0.9504,-1,-1,-1
121,13,219.99,285.25,118.35,41.05,0.9103,-1,-1,-1
121,17,464.70,264.28,110.81,35.52,0.7015,-1,-1,-1
121,19,873.37,217.46,79.43,59.26,0.8711,-1,-1,-1
122,3,207.06,255.73,96.16,35.95,0.8393,-1,-1,-1
122,4,176.09,292.34,411.74,187.22,0.9407,-1,-1,-1
122,13,204.00,286.52,117.72,42.34,0.8924,-1,-1,-1
122,17,449.76,264.86,112.04,37.66,0.8305,-1,-1,-1
122,19,868.06,218.08,80.50,59.41,0.8636,-1,-1,-1
123,3,207.18,255.83,96.13,36.66,0.8357,-1,-1,-1
123,4,151.76,295.82,422.04,190.62,0.9484,-1,-1,-1
123,13,186.88,287.46,119.09,43.08,0.9081,-1,-1,-1
123,17,435.39,265.57,106.63,39.03,0.8228,-1,-1,-1
123,19,862.71,218.43,80.37,59.54,0.8602,-1,-1,-1
124,3,207.01,255.68,96.00,38.43,0.8708,-1,-1,-1
124,4,126.98,298.52,434.23,195.05,0.9535,-1,-1,-1
124,13,169.71,288.36,121.10,43.70,0.9106,-1,-1,-1
124,17,420.82,265.95,111.26,41.03,0.8770,-1,-1,-1
124,19,856.64,218.83,81.66,60.05,0.8771,-1,-1,-1
125,3,207.26,255.51,95.50,39.40,0.8653,-1,-1,-1
125,4,100.31,300.38,447.01,201.28,0.9473,-1,-1,-1
125,13,152.92,289.68,121.50,44.19,0.9129,-1,-1,-1
125,17,406.14,266.92,115.00,42.63,0.8957,-1,-1,-1
125,19,851.87,219.07,81.15,60.20,0.8855,-1,-1,-1
126,3,206.21,255.11,96.64,40.08,0.8624,-1,-1,-1
126,4,73.00,303.13,459.78,206.01,0.9450,-1,-1,-1
126,13,134.53,291.12,123.58,44.49,0.9013,-1,-1,-1
126,17,391.74,267.61,115.29,44.16,0.9066,-1,-1,-1
126,19,845.76,219.29,82.17,61.06,0.8707,-1,-1,-1
127,3,207.16,255.31,95.82,39.94,0.8846,-1,-1,-1
127,4,45.29,305.52,474.13,211.84,0.9335,-1,-1,-1
127,13,117.51,292.53,124.05,44.84,0.9131,-1,-1,-1
127,17,377.60,268.21,116.63,45.98,0.8942,-1,-1,-1
127,19,838.96,219.59,84.27,61.22,0.8824,-1,-1,-1
128,3,207.46,255.61,95.97,39.80,0.8862,-1,-1,-1
128,4,18.23,307.59,486.93,217.87,0.9471,-1,-1,-1
128,13,99.05,294.32,126.08,44.91,0.9028,-1,-1,-1
128,17,362.70,268.70,118.21,47.16,0.8996,-1,-1,-1
128,19,832.38,219.69,85.86,61.91,0.8978,-1,-1,-1
